"job_id","job_title","salary_year_avg","skills_for_job"
552322,"Associate Director- Data Insights","255829.5","sql"
552322,"Associate Director- Data Insights","255829.5","python"
552322,"Associate Director- Data Insights","255829.5","r"
552322,"Associate Director- Data Insights","255829.5","azure"
552322,"Associate Director- Data Insights","255829.5","databricks"
552322,"Associate Director- Data Insights","255829.5","aws"
552322,"Associate Director- Data Insights","255829.5","pandas"
552322,"Associate Director- Data Insights","255829.5","pyspark"
552322,"Associate Director- Data Insights","255829.5","jupyter"
552322,"Associate Director- Data Insights","255829.5","excel"
